uid,formula,charge,n_c,frequency_cm,scale,frequency_unscaled_cm,intensity_km_mol,symmetry,family
617,C384H48,0,384,273.3114,0.9563,285.800899299383,0.0,B2G,low / skeletal
617,C384H48,0,384,278.9993,0.9563,291.74871902122766,0.0,B1G,low / skeletal
617,C384H48,0,384,279.9751,0.9563,292.7691101118896,0.0327,A2U,low / skeletal
617,C384H48,0,384,280.0631,0.9563,292.8611314441075,0.0,E2U,low / skeletal
617,C384H48,0,384,280.0631,0.9563,292.8611314441075,0.0,E2U,low / skeletal
617,C384H48,0,384,283.905,0.9563,296.8785945832897,0.0,E1G,low / skeletal
617,C384H48,0,384,283.905,0.9563,296.8785945832897,0.0,E1G,low / skeletal
617,C384H48,0,384,286.7731,0.9563,299.8777580257241,0.7621,E1U,low / skeletal
617,C384H48,0,384,286.7731,0.9563,299.8777580257241,0.7621,E1U,low / skeletal
617,C384H48,0,384,289.4912,0.9563,302.72006692460525,0.0,A1U,low / skeletal
617,C384H48,0,384,291.0918,0.9563,304.3938094740144,0.0,B2G,low / skeletal
617,C384H48,0,384,292.9571,0.9563,306.3443480079473,0.0,E1G,low / skeletal
617,C384H48,0,384,292.9571,0.9563,306.3443480079473,0.0,E1G,low / skeletal
617,C384H48,0,384,298.464,0.9563,312.1028965805709,0.0,E2G,low / skeletal
617,C384H48,0,384,298.464,0.9563,312.1028965805709,0.0,E2G,low / skeletal
617,C384H48,0,384,310.9079,0.9563,325.1154449440552,0.0,E2U,low / skeletal
617,C384H48,0,384,310.9079,0.9563,325.1154449440552,0.0,E2U,low / skeletal
617,C384H48,0,384,312.1019,0.9563,326.3640071107393,0.0,E1G,low / skeletal
617,C384H48,0,384,312.1019,0.9563,326.3640071107393,0.0,E1G,low / skeletal
617,C384H48,0,384,314.1003,0.9563,328.4537279096518,0.8191,A2U,low / skeletal
617,C384H48,0,384,319.8895,0.9563,334.5074767332427,0.0,E2U,low / skeletal
617,C384H48,0,384,319.8895,0.9563,334.5074767332427,0.0,E2U,low / skeletal
617,C384H48,0,384,319.9214,0.9563,334.5408344661717,0.0,A1U,low / skeletal
617,C384H48,0,384,320.7244,0.9563,335.3805291226602,5.0822,A2U,low / skeletal
617,C384H48,0,384,321.8436,0.9563,336.5508731569591,0.0,E2G,low / skeletal
617,C384H48,0,384,321.8436,0.9563,336.5508731569591,0.0,E2G,low / skeletal
617,C384H48,0,384,323.5146,0.9563,338.29823277214257,0.0,B1G,low / skeletal
617,C384H48,0,384,325.9229,0.9563,340.8165847537384,0.0,E1G,low / skeletal
617,C384H48,0,384,325.9229,0.9563,340.8165847537384,0.0,E1G,low / skeletal
617,C384H48,0,384,326.0195,0.9563,340.91759907978667,0.0,B1U,low / skeletal
617,C384H48,0,384,326.8905,0.9563,341.8284011293527,0.0,E2U,low / skeletal
617,C384H48,0,384,326.8905,0.9563,341.8284011293527,0.0,E2U,low / skeletal
617,C384H48,0,384,328.5764,0.9563,343.5913416291958,0.0,A2G,low / skeletal
617,C384H48,0,384,328.5983,0.9563,343.6142423925546,0.0,E2G,low / skeletal
617,C384H48,0,384,328.5983,0.9563,343.6142423925546,0.0,E2G,low / skeletal
617,C384H48,0,384,332.7375,0.9563,347.9425912370595,0.0,A1G,low / skeletal
617,C384H48,0,384,335.5138,0.9563,350.8457596988393,0.8672,A2U,low / skeletal
617,C384H48,0,384,337.6327,0.9563,353.06148698107285,0.0,B2U,low / skeletal
617,C384H48,0,384,340.7537,0.9563,356.3251071839381,0.3283,E1U,low / skeletal
617,C384H48,0,384,340.7537,0.9563,356.3251071839381,0.3283,E1U,low / skeletal
617,C384H48,0,384,341.5586,0.9563,357.16678866464497,0.0,B1G,low / skeletal
617,C384H48,0,384,343.4936,0.9563,359.19021227648227,0.0,E1G,low / skeletal
617,C384H48,0,384,343.4936,0.9563,359.19021227648227,0.0,E1G,low / skeletal
617,C384H48,0,384,345.1146,0.9563,360.8852870438147,0.0,E2U,low / skeletal
617,C384H48,0,384,345.1146,0.9563,360.8852870438147,0.0,E2U,low / skeletal
617,C384H48,0,384,348.2564,0.9563,364.170657743386,0.0,E1G,low / skeletal
617,C384H48,0,384,348.2564,0.9563,364.170657743386,0.0,E1G,low / skeletal
617,C384H48,0,384,356.1919,0.9563,372.4687859458329,0.0,B2U,low / skeletal
617,C384H48,0,384,358.6878,0.9563,375.0787409808637,0.0,B1U,low / skeletal
617,C384H48,0,384,358.9116,0.9563,375.3127679598453,0.0,B2G,low / skeletal
617,C384H48,0,384,366.855,0.9563,383.6191571682526,0.0,E2U,low / skeletal
617,C384H48,0,384,366.855,0.9563,383.6191571682526,0.0,E2U,low / skeletal
617,C384H48,0,384,368.215,0.9563,385.0413050298024,0.0,E1G,low / skeletal
617,C384H48,0,384,368.215,0.9563,385.0413050298024,0.0,E1G,low / skeletal
617,C384H48,0,384,368.6241,0.9563,385.46909965492,0.0,B1G,low / skeletal
617,C384H48,0,384,369.1888,0.9563,386.0596047265502,0.0,B2G,low / skeletal
617,C384H48,0,384,370.5005,0.9563,387.43124542507576,0.0,E2U,low / skeletal
617,C384H48,0,384,370.5005,0.9563,387.43124542507576,0.0,E2U,low / skeletal
617,C384H48,0,384,370.8755,0.9563,387.823381783959,0.0,A1U,low / skeletal
617,C384H48,0,384,373.9653,0.9563,391.0543762417651,0.7236,E1U,low / skeletal
617,C384H48,0,384,373.9653,0.9563,391.0543762417651,0.7234,E1U,low / skeletal
617,C384H48,0,384,375.1601,0.9563,392.3037749660148,0.2013,A2U,low / skeletal
617,C384H48,0,384,376.3535,0.9563,393.5517097145247,0.0,E2G,low / skeletal
617,C384H48,0,384,376.3535,0.9563,393.5517097145247,0.0,E2G,low / skeletal
617,C384H48,0,384,377.5924,0.9563,394.8472236745791,0.0,E1G,low / skeletal
617,C384H48,0,384,377.5924,0.9563,394.8472236745791,0.0,E1G,low / skeletal
617,C384H48,0,384,379.1888,0.9563,396.5165742967688,0.0,E2U,low / skeletal
617,C384H48,0,384,379.1888,0.9563,396.5165742967688,0.0,E2U,low / skeletal
617,C384H48,0,384,383.5841,0.9563,401.1127261319669,0.0,B2G,low / skeletal
617,C384H48,0,384,385.5168,0.9563,403.1337446408031,0.0,A1U,low / skeletal
617,C384H48,0,384,387.4192,0.9563,405.12307853184143,0.0,A1G,low / skeletal
617,C384H48,0,384,390.0734,0.9563,407.89856739516887,0.0,B1G,low / skeletal
617,C384H48,0,384,394.0302,0.9563,412.0361811147129,0.0,A2G,low / skeletal
617,C384H48,0,384,395.0488,0.9563,413.10132803513545,0.0,B2G,low / skeletal
617,C384H48,0,384,396.6556,0.9563,414.7815539056781,0.0,E2U,low / skeletal
617,C384H48,0,384,396.6556,0.9563,414.7815539056781,0.0,E2U,low / skeletal
617,C384H48,0,384,397.1492,0.9563,415.2977099236641,0.0,E1G,low / skeletal
617,C384H48,0,384,397.1492,0.9563,415.2977099236641,0.0,E1G,low / skeletal
617,C384H48,0,384,399.4427,0.9563,417.69601589459376,0.0,E2G,low / skeletal
617,C384H48,0,384,399.4427,0.9563,417.69601589459376,0.0,E2G,low / skeletal
617,C384H48,0,384,399.8956,0.9563,418.16961204642894,0.0,B2U,low / skeletal
617,C384H48,0,384,403.1003,0.9563,421.5207570845969,0.0,A2G,low / skeletal
617,C384H48,0,384,405.5787,0.9563,424.1124124228799,0.0,A1U,low / skeletal
617,C384H48,0,384,405.7213,0.9563,424.2615288089512,9.4214,E1U,low / skeletal
617,C384H48,0,384,405.7213,0.9563,424.2615288089512,9.4211,E1U,low / skeletal
617,C384H48,0,384,407.6031,0.9563,426.2293213426749,0.0,E1G,low / skeletal
617,C384H48,0,384,407.6031,0.9563,426.2293213426749,0.0,E1G,low / skeletal
617,C384H48,0,384,408.6763,0.9563,427.3515633169508,0.0,B1U,low / skeletal
617,C384H48,0,384,413.9101,0.9563,432.8245320506117,5.0179,A2U,low / skeletal
617,C384H48,0,384,413.9907,0.9563,432.90881522534767,0.0,E2U,low / skeletal
617,C384H48,0,384,413.9907,0.9563,432.90881522534767,0.0,E2U,low / skeletal
617,C384H48,0,384,414.2865,0.9563,433.2181323852348,0.0,E2U,low / skeletal
617,C384H48,0,384,414.2865,0.9563,433.2181323852348,0.0,E2U,low / skeletal
617,C384H48,0,384,415.6372,0.9563,434.6305552650842,0.0,B1G,low / skeletal
617,C384H48,0,384,415.9068,0.9563,434.9124751646973,3.7689,E1U,low / skeletal
617,C384H48,0,384,415.9068,0.9563,434.9124751646973,3.7689,E1U,low / skeletal
617,C384H48,0,384,416.2703,0.9563,435.29258600857474,0.0,E1G,low / skeletal
617,C384H48,0,384,416.2703,0.9563,435.29258600857474,0.0,E1G,low / skeletal
617,C384H48,0,384,418.6207,0.9563,437.75039213635887,0.2789,A2U,low / skeletal
617,C384H48,0,384,420.57,0.9563,439.7887692146816,0.0,E2U,low / skeletal
617,C384H48,0,384,420.57,0.9563,439.7887692146816,0.0,E2U,low / skeletal
617,C384H48,0,384,424.317,0.9563,443.7069957126425,0.0,E1G,low / skeletal
617,C384H48,0,384,424.317,0.9563,443.7069957126425,0.0,E1G,low / skeletal
617,C384H48,0,384,429.1371,0.9563,448.7473596151835,0.0,B1G,low / skeletal
