scale,n_bands,frequency_unscaled_cm
0.9097,2488,1924.0052764647685
0.9097,2488,1835.832802022645
0.9097,2488,2076.5265472133674
0.9097,2488,2035.530504561944
0.9097,2488,1943.9000769484448
0.9097,2488,2015.707925689788
0.9097,2488,1966.4954380565025
0.9097,2488,1943.2098494009012
0.9097,2488,1921.036165768935
0.9097,2488,2007.492250192371
0.9097,2488,1912.3575904144225
0.9097,2488,1990.764207980653
0.9097,2488,2141.4577333186767
0.9097,2488,2036.2820710124215
0.9097,2488,2020.660657359569
0.9097,2488,1999.1850060459487
0.9097,2488,1842.466747279323
0.9097,2488,2134.285918434649
0.9097,2488,2022.8993074639995
0.9097,2488,2087.829834011213
0.9097,2488,2069.160712322744
0.9097,2488,1910.343190062658
0.9097,2488,1941.4889524018904
0.9097,2488,1882.744421237771
0.9097,2488,2014.0491370781576
0.9097,2488,1936.8994173903488
0.9097,2488,1837.186435088491
0.9097,2488,2043.7208969990108
0.9097,2488,1906.448939210729
0.9097,2488,1806.512806419699
0.9097,2488,2051.6745080795868
0.9097,2488,1939.9639441574147
0.9097,2488,1856.620864021106
0.9097,2488,1946.20171485105
0.9097,2488,1835.960646366934
0.9097,2488,2012.50928877652
0.9097,2488,1928.779597669561
0.9097,2488,1951.8940309992304
0.9097,2488,2085.8878751236675
0.9097,2488,2012.7070462789927
0.9097,2488,1929.3062548092776
0.9097,2488,2070.1180608991976
0.9097,2488,1990.7046278993075
0.9097,2488,1997.6395515004947
0.9097,2488,1967.3149389908765
0.9097,2488,2002.036495547983
0.9097,2488,1939.7453006485653
0.9097,2488,2029.392656919864
0.9097,2488,2035.272617346378
0.9097,2488,1855.104539958228
0.9097,2488,1937.4940090139607
0.9097,2488,2020.3928767725624
0.9097,2488,1992.335495218204
0.9097,2488,2074.352643728702
0.9097,2488,2027.4491590634275
0.9097,2488,1966.5362207321095
0.9097,2488,1927.507749807629
0.9097,2488,2021.7389249203036
0.9097,2488,2025.8612729471251
0.9097,2488,2015.3193360448504
0.9097,2488,2006.1345498516
0.9097,2488,2020.5656809937343
0.9097,2488,1996.8839177750908
0.9097,2488,2077.290535341321
0.9097,2488,1957.3708915026932
0.9097,2488,2021.975156645048
0.9097,2488,1800.2763548422556
0.9097,2488,1963.450148400572
0.9097,2488,2071.201165219303
0.9097,2488,2092.9187644278336
0.9097,2488,1971.2997691546664
0.9097,2488,2137.533802352424
0.9097,2488,2089.1435638122457
0.9097,2488,2050.2439265691987
0.9097,2488,2031.501154226668
0.9097,2488,2015.8943607782785
0.9097,2488,2042.119160162691
0.9097,2488,2032.8790810157195
0.9097,2488,1942.3695723865007
0.9097,2488,1811.5500714521272
0.9097,2488,2099.996812135869
0.9097,2488,2017.9017258436847
0.9097,2488,2021.892821809388
0.9097,2488,2054.428822688799
0.9097,2488,2112.9934044190395
0.9097,2488,2051.5824997251843
0.9097,2488,1943.4679564691655
0.9097,2488,1885.7128723755088
0.9097,2488,2126.0993734198087
0.9097,2488,1942.9075519402
0.9097,2488,2018.0968451137735
0.9097,2488,2093.893151588436
0.9097,2488,1957.6084423436296
0.9097,2488,1925.8860063757284
0.9097,2488,2066.860943168077
0.9097,2488,2067.018247773992
0.9097,2488,2108.168736946246
0.9097,2488,1923.7968561064088
0.9097,2488,2001.841815983291
0.9097,2488,1804.765746949544
0.9097,2488,1987.9038144443225
0.9097,2488,2089.402880070353
0.9097,2488,1999.4439925250083
0.9097,2488,2004.419149170056
0.9097,2488,1805.7827855336927
0.9097,2488,2013.9432780037373
0.9097,2488,1992.9525118170827
0.9097,2488,1860.15631526877
0.9097,2488,2047.6982521710452
0.9097,2488,1901.276464768605
0.9097,2488,2043.134110146202
0.9097,2488,1980.1530174782897
0.9097,2488,2085.666923161482
0.9097,2488,2014.762009453666
0.9097,2488,2136.630977245245
0.9097,2488,1968.3912278773223
0.9097,2488,2318.3095525997583
0.9097,2488,1975.0060459492145
0.9097,2488,2025.0851929207436
0.9097,2488,1893.5938221391668
0.9097,2488,1887.924040892602
0.9097,2488,1907.0848631416952
0.9097,2488,2015.6368033417607
0.9097,2488,1925.6099813125209
0.9097,2488,1911.1205892052328
0.9097,2488,2069.3522040233047
0.9097,2488,1840.494778498406
0.9097,2488,1991.8233483566007
0.9097,2488,1848.966912168847
0.9097,2488,1898.938331318017
0.9097,2488,2079.9172254589425
0.9097,2488,2043.2587666263605
0.9097,2488,1905.0530944267343
0.9097,2488,2050.3512146861603
0.9097,2488,1991.265252280972
0.9097,2488,1893.66054743322
0.9097,2488,1936.6207540947569
0.9097,2488,1980.3637462899856
0.9097,2488,1975.356820929977
0.9097,2488,1890.0390238540176
0.9097,2488,2116.413103220842
0.9097,2488,2041.3486863801252
0.9097,2488,1994.031438935913
0.9097,2488,1830.4705947015505
0.9097,2488,1853.977684951083
0.9097,2488,2015.2464548752337
0.9097,2488,2073.735627129823
0.9097,2488,1991.7790480378144
0.9097,2488,2098.036275695284
